 Year,Make,Vehicle Class,Engine_Size_L,Cylinders,Transmission,Fuel_Type,FC_City ,FC_Hwy,FC_Comb,Comb_mpg,CO2_Emissions,CO2_Rating,Smog_Rating
2021,Chevrolet,SUVSmall,1.4,4,AS6,X,9.7,7.3,8.6,33,203,6,7
2021,Chevrolet,SUVSmall,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2021,Chevrolet,SUVSmall,1.4,4,AS6,X,10.2,7.7,9.1,31,214,5,7
2021,Chrysler,Full-size,3.6,6,A8,X,12.4,7.8,10.3,27,242,5,3
2021,Chrysler,Full-size,5.7,8,A8,X,14.7,9.4,12.3,23,289,3,3
2021,Chrysler,Full-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2021,Chrysler,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,4,7
2021,Chrysler,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,4,7
2021,Chrysler,Minivan,3.6,6,A9,X,14.1,9.4,12,24,279,4,7
2021,Dodge,Midsize,3.6,6,A8,X,12.4,7.8,10.3,27,242,5,3
2021,Dodge,Midsize,5.7,8,A8,X,14.7,9.4,12.3,23,289,3,3
2021,Dodge,Midsize,5.7,8,M6,Z,15.6,10.1,13.1,22,307,3,1
2021,Dodge,Midsize,6.4,8,A8,Z,15.9,9.6,13.1,22,306,3,1
2021,Dodge,Midsize,6.4,8,M6,Z,16.7,10.4,13.9,20,325,3,1
2021,Dodge,Midsize,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2021,Dodge,Midsize,6.4,8,A8,Z,15.9,9.6,13.1,22,306,3,1
2021,Dodge,Midsize,6.4,8,M6,Z,16.7,10.4,13.9,20,325,3,1
2021,Dodge,Midsize,6.2,8,A8,Z,17.6,10.7,14.5,19,339,2,1
2021,Dodge,Midsize,6.2,8,M6,Z,18.1,11.4,15.1,19,352,2,1
2021,Dodge,Midsize,6.2,8,A8,Z,18.6,11.3,15.3,18,359,2,1
2021,Dodge,Midsize,6.2,8,M6,Z,18.1,11.4,15.1,19,352,2,1
2021,Dodge,Full-size,3.6,6,A8,X,12.4,7.8,10.3,27,242,5,3
2021,Dodge,Full-size,5.7,8,A8,X,14.7,9.4,12.3,23,289,3,3
2021,Dodge,Full-size,6.4,8,A8,Z,15.9,9.6,13.1,22,306,3,1
2021,Dodge,Full-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2021,Dodge,Full-size,6.4,8,A8,Z,15.9,9.6,13.1,22,306,3,1
2021,Dodge,Full-size,6.2,8,A8,Z,19,11.5,15.6,18,368,2,1
2021,Dodge,SUVStandard,3.6,6,A8,X,12.7,9.6,11.3,25,265,4,7
2021,Dodge,SUVStandard,5.7,8,A8,X,16.7,10.9,14.1,20,331,3,5
2021,Dodge,SUVStandard,6.4,8,A8,Z,18.3,12.2,15.6,18,363,2,1
2021,Dodge,SUVStandard,6.2,8,A8,Z,20.5,13.8,17.4,16,410,1,1
2021,FIAT,SUVSmall,1.3,4,A9,X,10,7.9,9.1,31,221,5,6
2021,Ford,SUVSmall,2.3,4,AS10,X,11.7,10.7,11.2,25,264,4,5
2021,Ford,SUVSmall,2.3,4,M7,X,11.6,10.9,11.3,25,265,4,5
2021,Ford,SUVSmall,2.7,6,AS10,X,12.8,11.6,12.2,23,287,3,6
2021,Ford,SUVSmall,2.3,4,AS10,X,13.5,13.7,13.6,21,318,3,5
2021,Ford,SUVSmall,2.3,4,M7,X,14.7,13.3,14.1,20,330,3,5
2021,Ford,SUVSmall,2.7,6,AS10,X,13.7,13.1,13.4,21,315,3,6
2021,Ford,SUVSmall,2.3,4,AS10,X,13.1,13.1,13.1,22,308,3,5
2021,Ford,SUVSmall,2.3,4,M7,X,13.8,12.4,13.2,21,310,3,5
2021,Ford,SUVSmall,2.3,4,AS10,X,13.1,13.1,13.1,22,308,3,5
2021,Ford,SUVSmall,2.7,6,AS10,X,14,13.9,13.9,20,327,3,6
2021,Ford,SUVSmall,1.5,3,A8,X,9.3,8.3,8.9,32,209,5,7
2021,Ford,SUVSmall,2,4,AS8,X,11.1,8.9,10.1,28,238,5,5
2021,Ford,SUVSmall,1,3,AS6,X,8.6,8.1,8.4,34,197,6,5
2021,Ford,SUVSmall,2,4,AS6,X,10.2,8,9.2,31,217,5,5
2021,Ford,SUVSmall,2,4,A8,X,11.2,8.1,9.8,29,229,5,5
2021,Ford,SUVSmall,2,4,A8,X,11.5,8.3,10,28,236,5,5
2021,Ford,SUVSmall,2,4,AS8,X,11.5,8.3,10.1,28,237,5,5
2021,Ford,SUVSmall,2.7,6,AS8,X,12.6,9.3,11.1,25,262,4,5
2021,Ford,SUVSmall,1.5,3,A8,X,8.5,6.8,7.8,36,182,6,7
2021,Ford,SUVSmall,1.5,3,A8,X,9,7.6,8.4,34,198,6,7
2021,Ford,SUVSmall,2,4,A8,X,10.4,7.5,9.1,31,213,5,5
2021,Ford,SUVSmall,2.5,4,AV,X,5.4,6.3,5.8,49,136,8,7
2021,Ford,SUVSmall,2.5,4,AV,X,5.5,6.4,5.9,48,139,8,7
2021,Ford,SUVStandard,3.5,6,AS10,X,14.1,10.7,12.6,22,295,3,5
2021,Ford,SUVStandard,3.5,6,AS10,X,14.7,11.2,13.1,22,308,3,5
